Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
October 31 2022,Garfield,WA,Passenger,1,3,4,1315,1319,0.30
January 31 2020,Adams,WA,Passenger,7,7,14,12911,12925,0.11
November 30 2017,Ventura,CA,Passenger,0,1,1,331,332,0.30
April 30 2019,San Mateo,CA,Passenger,2,1,3,124,127,2.36
September 30 2022,Hillsborough,FL,Passenger,1,2,3,118,121,2.48
December 31 2017,Multnomah,OR,Passenger,3,3,6,880,886,0.68
August 31 2017,Nueces,TX,Passenger,0,1,1,93,94,1.06
July 31 2020,Pend Oreille,WA,Truck,0,0,0,5761,5761,0.00
January 31 2021,Adams,WA,Truck,0,0,0,5347,5347,0.00
September 30 2023,Broward,FL,Passenger,1,0,1,53,54,1.85
May 31 2017,Hawaii,HI,Passenger,1,0,1,87,88,1.14
November 30 2018,Sangamon,IL,Passenger,1,0,1,9,10,10.00
September 30 2019,Manassas,VA,Passenger,0,1,1,7,8,12.50
December 31 2022,Lincoln,WA,Truck,0,0,0,4844,4844,0.00
February 28 2023,San Juan,WA,Passenger,580,172,752,13885,14637,5.14
May 31 2021,Portsmouth,VA,Passenger,0,1,1,78,79,1.27
September 30 2018,Douglas,NE,Passenger,0,1,1,69,70,1.43
August 31 2021,New York,NY,Passenger,1,0,1,41,42,2.38
March 31 2019,Howard,MD,Passenger,0,1,1,80,81,1.23
September 30 2021,Travis,TX,Passenger,4,3,7,141,148,4.73
September 30 2022,Island,WA,Passenger,875,381,1256,61677,62933,2.00
March 31 2019,Riverside,CA,Passenger,2,2,4,658,662,0.60
July 31 2021,Charles,MD,Passenger,1,1,2,72,74,2.70
August 31 2021,Pierce,WA,Truck,0,0,0,145633,145633,0.00
June 30 2021,Salt Lake,UT,Passenger,0,1,1,176,177,0.56
June 30 2017,Missoula,MT,Passenger,1,0,1,72,73,1.37
February 28 2021,Sevier,AR,Passenger,0,1,1,0,1,100.00
January 31 2021,Yakima,WA,Passenger,179,129,308,167558,167866,0.18
November 30 2017,Thurston,WA,Passenger,457,380,837,189501,190338,0.44
March 31 2017,El Paso,CO,Passenger,1,1,2,827,829,0.24
December 31 2022,Harris,TX,Passenger,1,0,1,131,132,0.76
November 30 2020,Thurston,WA,Truck,0,0,0,56276,56276,0.00
June 30 2022,Onslow,NC,Passenger,0,1,1,161,162,0.62
July 31 2017,Lee,AL,Passenger,1,0,1,36,37,2.70
January 31 2022,Ventura,CA,Passenger,2,2,4,245,249,1.61
February 29 2020,Sedgwick,KS,Passenger,1,1,2,96,98,2.04
May 31 2021,Denver,CO,Passenger,1,0,1,110,111,0.90
September 30 2017,Hawaii,HI,Passenger,1,0,1,79,80,1.25
January 31 2019,Tuolumne,CA,Passenger,0,1,1,12,13,7.69
October 31 2019,Walla Walla,WA,Truck,0,0,0,13669,13669,0.00
July 31 2021,Stevens,WA,Truck,0,0,0,18919,18919,0.00
March 31 2020,Brevard,FL,Passenger,0,1,1,88,89,1.12
March 31 2023,Collier,FL,Passenger,1,0,1,13,14,7.14
July 31 2019,Washtenaw,MI,Passenger,1,0,1,41,42,2.38
October 31 2020,Thurston,WA,Truck,0,0,0,56297,56297,0.00
March 31 2019,Deschutes,OR,Passenger,3,0,3,159,162,1.85
December 31 2019,Fairfax,VA,Passenger,5,2,7,758,765,0.92
February 28 2018,Arlington,VA,Passenger,1,2,3,173,176,1.70
September 30 2019,Volusia,FL,Passenger,0,1,1,40,41,2.44
January 31 2023,Prince George's,MD,Passenger,3,1,4,119,123,3.25
February 28 2023,Broward,FL,Passenger,1,0,1,67,68,1.47
October 31 2020,Middlesex,MA,Passenger,1,1,2,96,98,2.04
December 31 2019,Owyhee,ID,Passenger,1,0,1,3,4,25.00
March 31 2019,Travis,TX,Passenger,2,1,3,207,210,1.43
November 30 2017,Snohomish,WA,Truck,1,0,1,121380,121381,0.00
February 28 2023,Thurston,WA,Truck,49,0,49,54544,54593,0.09
July 31 2019,Mason,WA,Passenger,127,126,253,47310,47563,0.53
August 31 2019,Ventura,CA,Passenger,0,2,2,315,317,0.63
October 31 2021,Multnomah,OR,Passenger,2,6,8,626,634,1.26
July 31 2020,Pacific,WA,Truck,0,0,0,7714,7714,0.00
January 31 2023,St. Mary's,MD,Passenger,1,0,1,174,175,0.57
March 31 2018,Frederick,MD,Passenger,0,1,1,89,90,1.11
February 28 2023,Hardin,KY,Passenger,1,0,1,57,58,1.72
August 31 2021,Suffolk,MA,Passenger,0,2,2,30,32,6.25
September 30 2023,Champaign,IL,Passenger,1,0,1,11,12,8.33
July 31 2019,Snohomish,WA,Truck,0,0,0,122613,122613,0.00
November 30 2019,Pinal,AZ,Passenger,1,0,1,192,193,0.52
July 31 2019,Skamania,WA,Truck,0,0,0,4063,4063,0.00
September 30 2018,Suffolk,MA,Passenger,0,1,1,44,45,2.22
January 31 2021,Juneau,AK,Passenger,0,1,1,23,24,4.17
October 31 2018,Shasta,CA,Passenger,1,0,1,45,46,2.17
March 31 2022,Rock Island,IL,Passenger,0,1,1,12,13,7.69
June 30 2019,Adams,WA,Truck,0,0,0,5127,5127,0.00
April 30 2017,Lane,OR,Passenger,0,1,1,250,251,0.40
September 30 2023,Coryell,TX,Passenger,1,0,1,60,61,1.64
April 30 2018,Frederick,MD,Passenger,0,1,1,88,89,1.12
August 31 2023,Lane,OR,Passenger,0,2,2,56,58,3.45
April 30 2022,Hudson,NJ,Passenger,2,0,2,36,38,5.26
November 30 2020,Montgomery,PA,Passenger,1,0,1,24,25,4.00
June 30 2018,Orleans,LA,Passenger,0,1,1,47,48,2.08
October 31 2022,Sheridan,WY,Passenger,1,0,1,6,7,14.29
July 31 2020,King,WA,Truck,7,1,8,182940,182948,0.00
May 31 2019,St. Mary's,MD,Passenger,1,0,1,214,215,0.47
January 31 2020,Osceola,FL,Passenger,1,0,1,42,43,2.33
November 30 2017,Clark,WA,Passenger,840,558,1398,303181,304579,0.46
June 30 2018,Pierce,WA,Truck,0,0,0,137829,137829,0.00
August 31 2019,Grays Harbor,WA,Truck,0,0,0,20569,20569,0.00
July 31 2023,Whitman,WA,Truck,5,0,5,8571,8576,0.06
October 31 2020,Benton,WA,Passenger,403,339,742,134659,135401,0.55
June 30 2021,Duval,FL,Passenger,0,2,2,343,345,0.58
January 31 2021,Garfield,WA,Truck,0,0,0,1002,1002,0.00
February 28 2019,Skamania,WA,Truck,0,0,0,3990,3990,0.00
April 30 2019,St. Clair,IL,Passenger,0,1,1,163,164,0.61
August 31 2022,Sonoma,CA,Passenger,0,1,1,78,79,1.27
October 31 2022,Rockingham,NH,Passenger,1,0,1,13,14,7.14
April 30 2020,Williams,ND,Passenger,0,1,1,13,14,7.14
November 30 2021,Larimer,CO,Passenger,1,0,1,51,52,1.92
November 30 2018,Clallam,WA,Truck,0,0,0,21611,21611,0.00
August 31 2019,Jefferson,WA,Passenger,205,122,327,25068,25395,1.29
March 31 2018,Kittitas,WA,Truck,0,0,0,13983,13983,0.00
May 31 2017,Montgomery,MD,Passenger,1,0,1,306,307,0.33
February 28 2017,Spokane,WA,Truck,1,0,1,90237,90238,0.00
February 28 2023,Richland,SC,Passenger,0,1,1,106,107,0.93
July 31 2020,San Francisco,CA,Passenger,2,1,3,95,98,3.06
September 30 2022,Arlington,VA,Passenger,1,0,1,118,119,0.84
December 31 2021,District of Columbia,DC,Passenger,5,0,5,190,195,2.56
September 30 2020,Pacific,WA,Passenger,32,34,66,15713,15779,0.42
June 30 2018,Lewis,WA,Truck,0,0,0,25480,25480,0.00
July 31 2017,Kitsap,WA,Passenger,622,324,946,173383,174329,0.54
February 28 2021,Cowlitz,WA,Passenger,194,130,324,71933,72257,0.45
January 31 2017,Maricopa,AZ,Passenger,3,1,4,1994,1998,0.20
March 31 2018,Canyon,ID,Passenger,0,1,1,96,97,1.03
September 30 2018,Washoe,NV,Passenger,1,0,1,115,116,0.86
October 31 2022,Rock Island,IL,Passenger,0,1,1,12,13,7.69
August 31 2022,Washington,MD,Passenger,2,0,2,15,17,11.76
May 31 2022,Denton,TX,Passenger,1,0,1,64,65,1.54
June 30 2023,Maui,HI,Passenger,1,0,1,19,20,5.00
June 30 2023,Hillsborough,FL,Passenger,1,2,3,102,105,2.86
August 31 2019,Wahkiakum,WA,Passenger,2,2,4,3026,3030,0.13
November 30 2021,Cowlitz,WA,Truck,0,1,1,29028,29029,0.00
August 31 2019,Mason,WA,Passenger,130,127,257,47423,47680,0.54
July 31 2017,Honolulu,HI,Passenger,3,2,5,577,582,0.86
May 31 2022,Lake,FL,Passenger,1,0,1,19,20,5.00
May 31 2017,Missoula,MT,Passenger,1,0,1,74,75,1.33
October 31 2022,Lane,OR,Passenger,0,2,2,83,85,2.35
May 31 2020,Franklin,WA,Truck,0,0,0,19867,19867,0.00
March 31 2018,Grays Harbor,WA,Passenger,45,46,91,46089,46180,0.20
December 31 2018,Richland,SC,Passenger,0,1,1,165,166,0.60
December 31 2018,Franklin,WA,Truck,0,0,0,19056,19056,0.00
November 30 2019,Chelan,WA,Passenger,196,75,271,54638,54909,0.49
May 31 2022,Orange,FL,Passenger,2,0,2,96,98,2.04
April 30 2019,Sangamon,IL,Passenger,2,0,2,7,9,22.22
January 31 2021,Eagle,CO,Passenger,1,0,1,9,10,10.00
February 28 2022,Spokane,WA,Truck,0,0,0,102579,102579,0.00
August 31 2020,Fulton,GA,Passenger,1,2,3,99,102,2.94
March 31 2017,Pacific,WA,Truck,0,0,0,7479,7479,0.00
May 31 2019,Carroll,NH,Passenger,0,1,1,3,4,25.00
June 30 2023,Henrico,VA,Passenger,0,1,1,5,6,16.67
December 31 2018,Cook,IL,Passenger,1,0,1,252,253,0.40
February 28 2021,Manassas,VA,Passenger,0,1,1,6,7,14.29
February 28 2019,San Juan,PR,Passenger,0,1,1,3,4,25.00
September 30 2021,Suffolk,MA,Passenger,0,2,2,29,31,6.45
March 31 2023,Eau Claire,WI,Passenger,1,0,1,1,2,50.00
November 30 2018,Skamania,WA,Truck,0,0,0,4005,4005,0.00
December 31 2019,Mason,WA,Truck,0,0,0,20525,20525,0.00
September 30 2022,Richmond,GA,Passenger,0,1,1,66,67,1.49
August 31 2022,Bell,TX,Passenger,1,0,1,314,315,0.32
December 31 2022,Richland,SC,Passenger,0,1,1,113,114,0.88
August 31 2017,Montgomery,PA,Passenger,1,0,1,39,40,2.50
April 30 2023,Richmond,NY,Passenger,1,0,1,4,5,20.00
March 31 2023,Denton,TX,Passenger,1,0,1,47,48,2.08
October 31 2021,Klamath,OR,Passenger,1,0,1,29,30,3.33
August 31 2020,Cowlitz,WA,Passenger,152,120,272,72128,72400,0.38
April 30 2019,Charles,MD,Passenger,0,1,1,84,85,1.18
June 30 2018,Maricopa,AZ,Passenger,2,2,4,1607,1611,0.25
July 31 2023,Alameda,CA,Passenger,4,0,4,151,155,2.58
April 30 2021,RÃ­o Grande,PR,Passenger,1,0,1,1,2,50.00
June 30 2022,Nueces,TX,Passenger,1,1,2,51,53,3.77
September 30 2018,Manatee,FL,Passenger,1,0,1,38,39,2.56
May 31 2018,Sangamon,IL,Passenger,1,0,1,11,12,8.33
September 30 2021,Danville,VA,Passenger,1,0,1,0,1,100.00
September 30 2018,Richmond,GA,Passenger,0,1,1,95,96,1.04
December 31 2020,Mason,WA,Truck,0,0,0,20944,20944,0.00
September 30 2022,Pend Oreille,WA,Truck,0,0,0,5635,5635,0.00
January 31 2021,Cowlitz,WA,Passenger,188,129,317,72159,72476,0.44
April 30 2017,Lincoln,WA,Passenger,2,4,6,7480,7486,0.08
November 30 2021,Onslow,NC,Passenger,0,1,1,170,171,0.58
September 30 2022,Calvert,MD,Passenger,0,2,2,78,80,2.50
August 31 2021,Harford,MD,Passenger,0,1,1,53,54,1.85
April 30 2020,Hudson,NJ,Passenger,1,0,1,40,41,2.44
June 30 2022,Boulder,CO,Passenger,2,0,2,38,40,5.00
December 31 2022,New London,CT,Passenger,2,4,6,183,189,3.17
September 30 2018,Bexar,TX,Passenger,3,4,7,736,743,0.94
July 31 2019,Pima,AZ,Passenger,0,1,1,403,404,0.25
May 31 2023,Walla Walla,WA,Passenger,215,114,329,35406,35735,0.92
October 31 2017,Tarrant,TX,Passenger,1,0,1,232,233,0.43
December 31 2018,Chelan,WA,Truck,0,0,0,22052,22052,0.00
October 31 2020,Klickitat,WA,Truck,0,0,0,8088,8088,0.00
August 31 2019,Douglas,WA,Truck,0,0,0,12265,12265,0.00
October 31 2020,Clark,WA,Passenger,2212,1121,3333,318803,322136,1.03
September 30 2021,Arlington,VA,Passenger,1,1,2,134,136,1.47
October 31 2020,Rockingham,NH,Passenger,1,0,1,23,24,4.17
February 28 2021,Kings,NY,Passenger,1,0,1,65,66,1.52
November 30 2020,Lake,FL,Passenger,1,0,1,22,23,4.35
July 31 2020,Pierce,WA,Passenger,2467,1696,4163,551362,555525,0.75
August 31 2020,Columbia,WA,Passenger,3,3,6,2424,2430,0.25
March 31 2023,New London,CT,Passenger,1,4,5,175,180,2.78
August 31 2018,Cumberland,NC,Passenger,0,1,1,541,542,0.18
July 31 2018,Kittitas,WA,Truck,0,0,0,14052,14052,0.00
July 31 2018,Maricopa,AZ,Passenger,2,2,4,1593,1597,0.25
September 30 2021,St. Louis,MO,Passenger,1,0,1,80,81,1.23
May 31 2021,Klickitat,WA,Truck,0,0,0,8261,8261,0.00
July 31 2023,Orange,CA,Passenger,7,2,9,283,292,3.08
December 31 2022,St. Tammany,LA,Passenger,1,0,1,34,35,2.86
February 28 2023,Salt Lake,UT,Passenger,0,1,1,112,113,0.88
April 30 2017,Asotin,WA,Passenger,6,2,8,12342,12350,0.06
April 30 2019,Walla Walla,WA,Passenger,46,57,103,36135,36238,0.28
August 31 2018,Mason,WA,Truck,0,0,0,20082,20082,0.00
September 30 2023,Charles,MD,Passenger,1,1,2,49,51,3.92
February 28 2019,Hardin,KY,Passenger,0,1,1,105,106,0.94
May 31 2017,Polk,FL,Passenger,1,0,1,66,67,1.49
March 31 2019,Brevard,FL,Passenger,0,1,1,90,91,1.10
January 31 2021,Salt Lake,UT,Passenger,0,1,1,181,182,0.55
June 30 2021,Carson City,NV,Passenger,1,0,1,11,12,8.33
June 30 2022,Allegheny,PA,Passenger,1,1,2,55,57,3.51
January 31 2023,Newport News,VA,Passenger,1,0,1,98,99,1.01
June 30 2019,Washtenaw,MI,Passenger,1,0,1,40,41,2.44
April 30 2017,Carroll,NH,Passenger,0,1,1,0,1,100.00
June 30 2022,Los Angeles,CA,Passenger,7,8,15,771,786,1.91
October 31 2019,Boone,MO,Passenger,0,1,1,11,12,8.33
April 30 2023,Pend Oreille,WA,Truck,0,0,0,5619,5619,0.00
November 30 2019,Multnomah,OR,Passenger,4,6,10,728,738,1.36
May 31 2021,Skagit,WA,Passenger,577,265,842,91948,92790,0.91
October 31 2020,King,WA,Truck,5,1,6,184046,184052,0.00
September 30 2021,Stevens,WA,Passenger,51,42,93,30323,30416,0.31
October 31 2020,Harris,TX,Passenger,1,0,1,228,229,0.44
May 31 2023,Anne Arundel,MD,Passenger,5,3,8,295,303,2.64
June 30 2019,Cochise,AZ,Passenger,0,1,1,113,114,0.88
August 31 2019,Williamson,TX,Passenger,0,2,2,147,149,1.34
August 31 2021,Kings,NY,Passenger,1,0,1,68,69,1.45
December 31 2021,Loudoun,VA,Passenger,1,0,1,66,67,1.49
December 31 2022,Lake,IN,Passenger,0,1,1,9,10,10.00
January 31 2023,Sheridan,WY,Passenger,1,0,1,6,7,14.29
January 31 2019,Spokane,WA,Passenger,470,380,850,307593,308443,0.28
July 31 2020,Chesapeake,VA,Passenger,0,1,1,414,415,0.24
January 31 2020,Whitman,WA,Passenger,42,48,90,22662,22752,0.40
January 31 2022,Hoke,NC,Passenger,1,0,1,74,75,1.33
April 30 2023,Alameda,CA,Passenger,4,0,4,165,169,2.37
January 31 2017,Durham,NC,Passenger,0,1,1,38,39,2.56
December 31 2020,Tulsa,OK,Passenger,1,1,2,41,43,4.65
October 31 2022,Orange,FL,Passenger,1,0,1,78,79,1.27
April 30 2023,St. Louis,MO,Passenger,1,0,1,51,52,1.92
May 31 2020,Fresno,CA,Passenger,1,0,1,194,195,0.51
May 31 2017,Skamania,WA,Passenger,9,7,16,8532,8548,0.19
May 31 2021,St. Louis,MO,Passenger,1,0,1,83,84,1.19
August 31 2021,Pend Oreille,WA,Passenger,16,7,23,9241,9264,0.25
April 30 2021,Howard,MD,Passenger,0,1,1,66,67,1.49
September 30 2020,Harnett,NC,Passenger,1,0,1,198,199,0.50
February 29 2020,Goochland,VA,Passenger,2,1,3,263,266,1.13
January 31 2019,Eagle,CO,Passenger,1,0,1,5,6,16.67
February 28 2023,Douglas,WA,Passenger,180,59,239,28618,28857,0.83
November 30 2018,Ramsey,MN,Passenger,1,0,1,42,43,2.33
April 30 2021,Norfolk,VA,Passenger,2,3,5,330,335,1.49
December 31 2021,DeKalb,GA,Passenger,1,0,1,62,63,1.59
October 31 2018,Fairfax,VA,Passenger,2,2,4,811,815,0.49
July 31 2022,Travis,TX,Passenger,2,0,2,105,107,1.87
January 31 2018,Kent,MI,Passenger,0,1,1,35,36,2.78
April 30 2020,Mercer,NJ,Passenger,0,1,1,16,17,5.88
May 31 2018,Pend Oreille,WA,Passenger,4,5,9,9508,9517,0.09
October 31 2017,Wahkiakum,WA,Passenger,0,2,2,2849,2851,0.07
March 31 2022,Norfolk,VA,Passenger,3,3,6,307,313,1.92
September 30 2019,District of Columbia,DC,Passenger,1,1,2,209,211,0.95
September 30 2019,Orange,CA,Passenger,7,3,10,531,541,1.85
June 30 2020,Franklin,WA,Passenger,60,76,136,60641,60777,0.22
December 31 2022,Suffolk,VA,Passenger,1,0,1,115,116,0.86
November 30 2019,Chelan,WA,Truck,0,0,0,22518,22518,0.00
June 30 2020,Richland,SC,Passenger,0,1,1,158,159,0.63
December 31 2019,Dakota,MN,Passenger,0,1,1,33,34,2.94
August 31 2020,Klamath,OR,Passenger,1,0,1,33,34,2.94
April 30 2021,Fairbanks North Star,AK,Passenger,0,1,1,81,82,1.22
September 30 2021,Loudoun,VA,Passenger,1,0,1,68,69,1.45
July 31 2022,Spartanburg,SC,Passenger,0,1,1,39,40,2.50
October 31 2022,Geary,KS,Passenger,1,0,1,77,78,1.28
April 30 2021,Sumter,FL,Passenger,0,1,1,10,11,9.09
August 31 2021,Hampshire,MA,Passenger,1,0,1,7,8,12.50
January 31 2023,Asotin,WA,Passenger,30,20,50,12480,12530,0.40
December 31 2017,Ferry,WA,Passenger,1,3,4,4403,4407,0.09
January 31 2023,Santa Clara,CA,Passenger,10,3,13,185,198,6.57
June 30 2022,Honolulu,HI,Passenger,4,4,8,339,347,2.31
January 31 2017,Montgomery,TN,Passenger,1,0,1,309,310,0.32
April 30 2022,Douglas,NE,Passenger,1,2,3,47,50,6.00
December 31 2021,Dorchester,SC,Passenger,1,0,1,63,64,1.56
October 31 2022,Polk,OR,Passenger,0,1,1,20,21,4.76
February 28 2019,St. Clair,IL,Passenger,0,1,1,169,170,0.59
July 31 2018,Manatee,FL,Passenger,1,0,1,38,39,2.56
November 30 2021,Vigo,IN,Passenger,1,0,1,5,6,16.67
June 30 2022,Okaloosa,FL,Passenger,0,1,1,104,105,0.95
July 31 2018,Clallam,WA,Passenger,127,111,238,49978,50216,0.47
July 31 2023,Wichita,TX,Passenger,2,0,2,30,32,6.25
August 31 2022,Jefferson,WA,Passenger,453,223,676,24500,25176,2.69
September 30 2022,Mason,WA,Truck,4,0,4,20991,20995,0.02
November 30 2018,Prince William,VA,Passenger,0,4,4,255,259,1.54
July 31 2017,Skagit,WA,Passenger,141,104,245,88182,88427,0.28
March 31 2021,Washington,OR,Passenger,1,0,1,400,401,0.25
January 31 2022,Sonoma,CA,Passenger,0,1,1,82,83,1.20
May 31 2018,Dakota,MN,Passenger,0,2,2,38,40,5.00
March 31 2020,Middlesex,MA,Passenger,1,1,2,103,105,1.90
February 28 2018,Essex,NJ,Passenger,1,0,1,11,12,8.33
April 30 2017,Monroe,NY,Passenger,1,0,1,28,29,3.45
March 31 2021,San Juan,WA,Passenger,394,123,517,14113,14630,3.53
March 31 2018,Lincoln,WA,Truck,0,0,0,4513,4513,0.00
August 31 2018,Lewis,WA,Truck,0,0,0,25606,25606,0.00
April 30 2023,Asotin,WA,Truck,0,0,0,6625,6625,0.00
December 31 2021,,,Passenger,3,1,4,295,299,1.34
February 28 2021,Washoe,NV,Passenger,1,0,1,104,105,0.95
March 31 2019,Owyhee,ID,Passenger,1,0,1,5,6,16.67
September 30 2017,Travis,TX,Passenger,0,1,1,191,192,0.52
October 31 2017,Portsmouth,VA,Passenger,0,1,1,63,64,1.56
February 28 2021,Santa Cruz,CA,Passenger,1,0,1,33,34,2.94
June 30 2020,Contra Costa,CA,Passenger,3,3,6,313,319,1.88
September 30 2020,Alameda,CA,Passenger,2,0,2,268,270,0.74
March 31 2023,Sarasota,FL,Passenger,1,0,1,19,20,5.00
August 31 2022,Jackson,OK,Passenger,0,1,1,35,36,2.78
March 31 2023,Fairfax,VA,Truck,1,0,1,96,97,1.03
November 30 2018,Douglas,WA,Truck,0,0,0,12124,12124,0.00
May 31 2021,Howard,MD,Passenger,0,1,1,64,65,1.54
November 30 2017,Franklin,WA,Passenger,31,48,79,56683,56762,0.14
December 31 2020,Mason,WA,Passenger,173,133,306,47644,47950,0.64
December 31 2018,Caddo,LA,Passenger,0,1,1,21,22,4.55
July 31 2019,Washoe,NV,Passenger,2,0,2,117,119,1.68
October 31 2022,Escambia,FL,Passenger,0,1,1,133,134,0.75
December 31 2020,Los Angeles,CA,Passenger,9,11,20,960,980,2.04
August 31 2023,Pend Oreille,WA,Truck,0,0,0,5518,5518,0.00
July 31 2023,Pulaski,AR,Passenger,2,0,2,15,17,11.76
August 31 2021,San Mateo,CA,Passenger,1,0,1,96,97,1.03
September 30 2020,Fairfax,VA,Passenger,5,3,8,735,743,1.08
December 31 2018,Carson City,NV,Passenger,1,0,1,15,16,6.25
June 30 2019,Pacific,WA,Truck,0,0,0,7653,7653,0.00
October 31 2020,Montgomery,OH,Passenger,0,1,1,48,49,2.04
August 31 2022,Grays Harbor,WA,Truck,2,0,2,21205,21207,0.01
August 31 2020,Skagit,WA,Truck,1,0,1,32635,32636,0.00
November 30 2019,Chesapeake,VA,Passenger,0,1,1,440,441,0.23
March 31 2020,Jefferson,CO,Passenger,0,1,1,60,61,1.64
May 31 2020,Hillsborough,FL,Passenger,0,1,1,183,184,0.54
August 31 2021,Sumter,SC,Passenger,0,1,1,36,37,2.70
June 30 2019,Goochland,VA,Passenger,1,1,2,258,260,0.77
March 31 2022,Lane,OR,Passenger,0,2,2,108,110,1.82
March 31 2018,Gwinnett,GA,Passenger,0,1,1,80,81,1.23
June 30 2019,Suffolk,MA,Passenger,0,1,1,40,41,2.44
March 31 2022,Klickitat,WA,Truck,0,0,0,8310,8310,0.00
December 31 2019,Thurston,WA,Truck,0,0,0,55726,55726,0.00
September 30 2017,Douglas,WA,Passenger,35,29,64,26929,26993,0.24
March 31 2018,Lincoln,WA,Passenger,2,5,7,7577,7584,0.09
June 30 2022,Hamilton,OH,Passenger,1,0,1,31,32,3.12
September 30 2021,Carroll,MD,Passenger,0,1,1,18,19,5.26
February 28 2019,Nantucket,MA,Passenger,1,0,1,4,5,20.00
February 28 2022,Stevens,WA,Passenger,58,47,105,30100,30205,0.35
December 31 2022,Carroll,NH,Passenger,0,1,1,5,6,16.67
August 31 2017,Clark,NV,Passenger,2,2,4,800,804,0.50
October 31 2020,Honolulu,HI,Passenger,5,2,7,446,453,1.55
May 31 2021,Plaquemines,LA,Passenger,0,1,1,16,17,5.88
October 31 2021,Frederick,MD,Passenger,1,1,2,74,76,2.63
September 30 2023,Wilson,TX,Passenger,0,1,1,2,3,33.33
August 31 2021,Clark,WA,Truck,0,0,0,84168,84168,0.00
January 31 2021,Pierce,WA,Truck,0,0,0,144869,144869,0.00
June 30 2017,Dakota,MN,Passenger,0,1,1,38,39,2.56
March 31 2019,Lincoln,WA,Passenger,3,6,9,7732,7741,0.12
May 31 2022,Snohomish,WA,Truck,6,0,6,124109,124115,0.00
May 31 2017,Snohomish,WA,Truck,1,0,1,121861,121862,0.00
September 30 2020,Cowlitz,WA,Truck,0,0,0,28938,28938,0.00
December 31 2019,Lake,IL,Passenger,1,0,1,167,168,0.60
October 31 2019,Maui,HI,Passenger,2,0,2,44,46,4.35
August 31 2021,Hamilton,IN,Passenger,2,0,2,31,33,6.06
April 30 2022,Greene,MO,Passenger,0,1,1,28,29,3.45
September 30 2017,King,WA,Passenger,10651,4350,15001,1372498,1387499,1.08
August 31 2020,Clark,WA,Passenger,2135,1076,3211,318202,321413,1.00
October 31 2018,Mason,WA,Passenger,101,108,209,46351,46560,0.45
February 28 2023,Cumberland,NC,Passenger,1,4,5,319,324,1.54
February 28 2017,Santa Fe,NM,Passenger,0,1,1,45,46,2.17
September 30 2020,Asotin,WA,Truck,0,0,0,6693,6693,0.00
June 30 2022,Carroll,NH,Passenger,0,1,1,5,6,16.67
January 31 2021,Hudson,NJ,Passenger,1,0,1,42,43,2.33
March 31 2022,Middlesex,MA,Passenger,1,1,2,84,86,2.33
February 28 2022,Frederick,MD,Passenger,1,1,2,72,74,2.70
December 31 2022,Galveston,TX,Passenger,0,1,1,17,18,5.56
January 31 2023,Carroll,MD,Passenger,0,1,1,19,20,5.00
May 31 2023,Thurston,WA,Passenger,3043,1209,4252,190064,194316,2.19
November 30 2017,Kittitas,WA,Passenger,34,24,58,28268,28326,0.20
July 31 2022,Douglas,WA,Truck,1,0,1,12747,12748,0.01
August 31 2023,Grays Harbor,WA,Truck,9,0,9,20546,20555,0.04
August 31 2019,Santa Clara,CA,Passenger,4,2,6,372,378,1.59
August 31 2021,Clark,NV,Passenger,5,2,7,608,615,1.14
May 31 2018,Hardin,KY,Passenger,0,1,1,119,120,0.83
January 31 2021,Kings,NY,Passenger,1,0,1,63,64,1.56
December 31 2019,Camden,NJ,Passenger,0,2,2,21,23,8.70
